language,agent,model,effort,run_id,eval,score_count,score_total,score_pct,wall_min,input_tokens,output_tokens,cost_usd,tools,files,loc,result_link,transcript_link,last_message
C++,gemini-cli,gemini-2.5-flash-lite,,2,eval2,0,542,0.0,11.1,6400000.0,110000.0,0.27,48.0,16.0,2121.0,../../results/cncsim-full/gemini-cli/gemini-2.5-flash-lite/eval2/run2/result.json,../../results/cncsim-full/gemini-cli/gemini-2.5-flash-lite/eval2/run2/transcript.jsonl,Incomplete; build failed. Encountered repeated `write_file` tool errors (missing `file_path` parameter).
C++,gemini-cli,gemini-2.5-flash-lite,,3,eval2,0,542,0.0,1.9,888000.0,12000.0,0.02,10.0,2.0,399.0,../../results/cncsim-full/gemini-cli/gemini-2.5-flash-lite/eval2/run3/result.json,../../results/cncsim-full/gemini-cli/gemini-2.5-flash-lite/eval2/run3/transcript.jsonl,Incomplete; scaffolded only. Set up project structure but wrote no implementation logic.
C++,copilot-cli,claude-haiku-4.5,,eval1/1,eval1,90,542,16.6,7.8,0.0,49000.0,,0.0,3.0,1276.0,../../results/cncsim-full/copilot-cli/claude-haiku-4.5/eval1/run1/result.json,../../results/cncsim-full/copilot-cli/claude-haiku-4.5/eval1/run1/transcript.jsonl,Claims complete.
C++,copilot-cli,claude-haiku-4.5,,eval2/1,eval2,55,542,10.1,8.8,0.0,41000.0,,0.0,3.0,1328.0,../../results/cncsim-full/copilot-cli/claude-haiku-4.5/eval2/run1/result.json,../../results/cncsim-full/copilot-cli/claude-haiku-4.5/eval2/run1/transcript.jsonl,Claims complete.
C++,copilot-cli,claude-haiku-4.5,,eval2/2,eval2,86,542,15.9,13.1,0.0,58000.0,,0.0,10.0,1996.0,../../results/cncsim-full/copilot-cli/claude-haiku-4.5/eval2/run2/result.json,../../results/cncsim-full/copilot-cli/claude-haiku-4.5/eval2/run2/transcript.jsonl,Claims complete.
C++,copilot-cli,gpt-4.1,,1,eval1,1,542,0.2,3.3,0.0,9000.0,,0.0,18.0,350.0,../../results/cncsim-full/copilot-cli/gpt-4.1/eval1/run1/result.json,../../results/cncsim-full/copilot-cli/gpt-4.1/eval1/run1/transcript.jsonl,"Incomplete; scaffolded only. Acknowledged ""core logic... will be implemented"" next."
C++,copilot-cli,gpt-4.1,,2,eval1,20,542,3.7,3.9,0.0,10000.0,,0.0,18.0,506.0,../../results/cncsim-full/copilot-cli/gpt-4.1/eval1/run2/result.json,../../results/cncsim-full/copilot-cli/gpt-4.1/eval1/run2/transcript.jsonl,"Incomplete; scaffolded only. Asked ""Let me know if you want to proceed with the execution engine."""
C++,copilot-cli,gpt-4.1,,3,eval1,1,542,0.2,5.2,0.0,14000.0,,0.0,2.0,207.0,../../results/cncsim-full/copilot-cli/gpt-4.1/eval1/run3/result.json,../../results/cncsim-full/copilot-cli/gpt-4.1/eval1/run3/transcript.jsonl,"Incomplete; scaffolded only. Asked ""Let me know if you want to proceed with a specific part."""
C++,copilot-cli,gpt-5-mini,high,1,eval3,145,542,26.8,11.7,0.0,43000.0,,0.0,2.0,709.0,../../results/cncsim-full/copilot-cli/gpt-5-mini_high/eval3/run1/result.json,../../results/cncsim-full/copilot-cli/gpt-5-mini_high/eval3/run1/transcript.jsonl,Claims complete.
C++,copilot-cli,gpt-5-mini,high,2,eval3,113,542,20.8,8.7,0.0,36000.0,,0.0,3.0,1527.0,../../results/cncsim-full/copilot-cli/gpt-5-mini_high/eval3/run2/result.json,../../results/cncsim-full/copilot-cli/gpt-5-mini_high/eval3/run2/transcript.jsonl,Claims complete.
C++,copilot-cli,gpt-5-mini,high,3,eval3,134,542,24.7,8.3,0.0,31000.0,,0.0,4.0,2335.0,../../results/cncsim-full/copilot-cli/gpt-5-mini_high/eval3/run3/result.json,../../results/cncsim-full/copilot-cli/gpt-5-mini_high/eval3/run3/transcript.jsonl,Claims complete.
js,codex-cli,gpt-5.4,xhigh,1,eval1,255,542,47.0,63.8,9300000.0,92000.0,4.41,83.0,5.0,3107.0,../../results/cncsim-full-js/codex-cli/gpt-5.4_xhigh/eval1/run1/result.json,../../results/cncsim-full-js/codex-cli/gpt-5.4_xhigh/eval1/run1/transcript.jsonl,Claims complete; multi-module CLI with parser/execution/trace in `output/interpreter.js`.
js,codex-cli,gpt-5.4,xhigh,2,eval1,424,542,78.2,33.5,9900000.0,90000.0,4.83,61.0,10.0,2881.0,../../results/cncsim-full-js/codex-cli/gpt-5.4_xhigh/eval1/run2/result.json,../../results/cncsim-full-js/codex-cli/gpt-5.4_xhigh/eval1/run2/transcript.jsonl,Claims complete; 10-file module tree under `output/`.
js,codex-cli,gpt-5.4,xhigh,3,eval1,445,542,82.1,49.5,6300000.0,95000.0,3.74,74.0,7.0,3411.0,../../results/cncsim-full-js/codex-cli/gpt-5.4_xhigh/eval1/run3/result.json,../../results/cncsim-full-js/codex-cli/gpt-5.4_xhigh/eval1/run3/transcript.jsonl,Claims complete; simulator + parser + runtime split across `main.js` / `simulator.js` / `parser.js`.
js,codex-cli,gpt-5.3-codex,xhigh,1,eval1,442,542,81.5,30.0,19500000.0,85000.0,4.85,88.0,5.0,2614.0,../../results/cncsim-full-js/codex-cli/gpt-5.3-codex_xhigh/eval1/run1/result.json,../../results/cncsim-full-js/codex-cli/gpt-5.3-codex_xhigh/eval1/run1/transcript.jsonl,"Claims complete; full CLI scaffold with RS274 parsing, state execution, and trace generation."
js,codex-cli,gpt-5.3-codex,xhigh,2,eval1,433,542,79.9,29.3,8500000.0,71000.0,2.7,73.0,7.0,2651.0,../../results/cncsim-full-js/codex-cli/gpt-5.3-codex_xhigh/eval1/run2/result.json,../../results/cncsim-full-js/codex-cli/gpt-5.3-codex_xhigh/eval1/run2/transcript.jsonl,Claims complete; Node.js 22+ simulator with a multi-file output tree.
js,codex-cli,gpt-5.3-codex,xhigh,3,eval1,431,542,79.5,33.5,11300000.0,86000.0,3.42,71.0,1.0,2637.0,../../results/cncsim-full-js/codex-cli/gpt-5.3-codex_xhigh/eval1/run3/result.json,../../results/cncsim-full-js/codex-cli/gpt-5.3-codex_xhigh/eval1/run3/transcript.jsonl,Claims complete; single-file Node.js CLI simulator.
js,codex-cli,gpt-5.4-mini,xhigh,1,eval1,346,542,63.8,92.2,29800000.0,562000.0,6.11,345.0,2.0,4230.0,../../results/cncsim-full-js/codex-cli/gpt-5.4-mini_xhigh/eval1/run1/result.json,../../results/cncsim-full-js/codex-cli/gpt-5.4-mini_xhigh/eval1/run1/transcript.jsonl,Claims complete; simulator engine split across `output/main.js` and `output/simulator.js`.
js,codex-cli,gpt-5.4-mini,xhigh,2,eval1,242,542,44.6,130.2,33600000.0,764000.0,6.62,381.0,4.0,3283.0,../../results/cncsim-full-js/codex-cli/gpt-5.4-mini_xhigh/eval1/run2/result.json,../../results/cncsim-full-js/codex-cli/gpt-5.4-mini_xhigh/eval1/run2/transcript.jsonl,Claims complete; 130-min run with simulator core in `output/interpreter.js`.
js,codex-cli,gpt-5.4-mini,xhigh,3,eval1,0,542,0.0,22.5,,,,,3.0,824.0,../../results/cncsim-full-js/codex-cli/gpt-5.4-mini_xhigh/eval1/run3/result.json,../../results/cncsim-full-js/codex-cli/gpt-5.4-mini_xhigh/eval1/run3/transcript.jsonl,"Incomplete; context-exhausted while still describing what it was about to write (""starting with the shared primitives first""). 3 scaffolding files / 824 LOC but no working implementation."
js,codex-cli,gpt-5.2-codex,xhigh,1,eval1,268,542,49.4,91.1,28900000.0,261000.0,9.2,204.0,1.0,2132.0,../../results/cncsim-full-js/codex-cli/gpt-5.2-codex_xhigh/eval1/run1/result.json,../../results/cncsim-full-js/codex-cli/gpt-5.2-codex_xhigh/eval1/run1/transcript.jsonl,"Claims complete; full RS274/NGC interpreter with motion, trace, parameter/tool I/O; noted parse/exec edge-case hardening (line numbers, M-code limit, G53 rules, arc R unit conversion)."
js,codex-cli,gpt-5.2-codex,xhigh,2,eval1,264,542,48.7,85.1,28000000.0,247000.0,8.74,194.0,1.0,2566.0,../../results/cncsim-full-js/codex-cli/gpt-5.2-codex_xhigh/eval1/run2/result.json,../../results/cncsim-full-js/codex-cli/gpt-5.2-codex_xhigh/eval1/run2/transcript.jsonl,Claims complete; reworked modal motion + post-motion spindle for canned cycles (G84/G86/G87/G88); G38.2 feed validation; cutter-comp radius unit scaling.
js,codex-cli,gpt-5.2-codex,xhigh,3,eval1,258,542,47.6,72.0,18400000.0,198000.0,6.74,111.0,9.0,2211.0,../../results/cncsim-full-js/codex-cli/gpt-5.2-codex_xhigh/eval1/run3/result.json,../../results/cncsim-full-js/codex-cli/gpt-5.2-codex_xhigh/eval1/run3/transcript.jsonl,"Claims complete; multi-file RS274/NGC parser/executor with runtime expression eval, motion (G0/G1/G2/G3/G38.2, canned cycles), tool/parameter I/O."
js,codex-cli,gpt-5.2,high,1,eval1,254,542,46.9,44.2,10200000.0,133000.0,3.98,52.0,9.0,2772.0,../../results/cncsim-full-js/codex-cli/gpt-5.2_high/eval1/run1/result.json,../../results/cncsim-full-js/codex-cli/gpt-5.2_high/eval1/run1/transcript.jsonl,Claims complete; Node.js 22+ simulator driven by the RS274 docs.
js,codex-cli,gpt-5.2,high,2,eval1,0,542,0.0,69.0,,,,,11.0,2530.0,../../results/cncsim-full-js/codex-cli/gpt-5.2_high/eval1/run2/result.json,../../results/cncsim-full-js/codex-cli/gpt-5.2_high/eval1/run2/transcript.jsonl,Incomplete; context window exhausted after partial implementation work.
js,codex-cli,gpt-5.2,high,3,eval1,257,542,47.4,39.2,12600000.0,112000.0,4.18,64.0,10.0,2300.0,../../results/cncsim-full-js/codex-cli/gpt-5.2_high/eval1/run3/result.json,../../results/cncsim-full-js/codex-cli/gpt-5.2_high/eval1/run3/transcript.jsonl,Claims complete; dependency-free Node.js CLI with optional motion trace sampling.
js,codex-cli,gpt-5.1-codex-max,xhigh,1,eval1,263,542,48.5,17.2,5200000.0,60000.0,1.98,43.0,1.0,1437.0,../../results/cncsim-full-js/codex-cli/gpt-5.1-codex-max_xhigh/eval1/run1/result.json,../../results/cncsim-full-js/codex-cli/gpt-5.1-codex-max_xhigh/eval1/run1/transcript.jsonl,"Claims complete; covers G0-G3, G38.2 probing, G10, G28/G30, G92, basic canned cycles G81/G82, trace stepping."
js,codex-cli,gpt-5.1-codex-max,xhigh,2,eval1,253,542,46.7,17.1,5000000.0,60000.0,1.81,53.0,1.0,1525.0,../../results/cncsim-full-js/codex-cli/gpt-5.1-codex-max_xhigh/eval1/run2/result.json,../../results/cncsim-full-js/codex-cli/gpt-5.1-codex-max_xhigh/eval1/run2/transcript.jsonl,"Claims complete; full RS274/NGC simulator including cycles, arcs, probing, G92, G10, G28/30, trace stepping modes."
js,codex-cli,gpt-5.1-codex-max,xhigh,3,eval1,193,542,35.6,12.9,3300000.0,44000.0,1.69,50.0,1.0,1566.0,../../results/cncsim-full-js/codex-cli/gpt-5.1-codex-max_xhigh/eval1/run3/result.json,../../results/cncsim-full-js/codex-cli/gpt-5.1-codex-max_xhigh/eval1/run3/transcript.jsonl,Claims complete; noted simplifications — cutter radius comp path geometry not implemented; rotary motion in arcs not modeled.
js,codex-cli,gpt-5.1,high,1,eval1,203,542,37.5,16.5,5800000.0,97000.0,1.81,52.0,7.0,1658.0,../../results/cncsim-full-js/codex-cli/gpt-5.1_high/eval1/run1/result.json,../../results/cncsim-full-js/codex-cli/gpt-5.1_high/eval1/run1/transcript.jsonl,"Claims complete; modular multi-file Node.js implementation; acknowledged ""important limitations"" inline."
js,codex-cli,gpt-5.1,high,2,eval1,218,542,40.2,15.5,8200000.0,91000.0,2.07,53.0,7.0,2701.0,../../results/cncsim-full-js/codex-cli/gpt-5.1_high/eval1/run2/result.json,../../results/cncsim-full-js/codex-cli/gpt-5.1_high/eval1/run2/transcript.jsonl,Claims complete; modular simulator with convenience `main.js` wrapper.
js,codex-cli,gpt-5.1,high,3,eval1,201,542,37.1,16.5,7900000.0,78000.0,1.93,70.0,7.0,2817.0,../../results/cncsim-full-js/codex-cli/gpt-5.1_high/eval1/run3/result.json,../../results/cncsim-full-js/codex-cli/gpt-5.1_high/eval1/run3/transcript.jsonl,Claims complete; seven-file modular Node.js simulator.
js,codex-cli,gpt-5,high,1,eval1,249,542,45.9,9.2,4700000.0,48000.0,1.17,48.0,1.0,1495.0,../../results/cncsim-full-js/codex-cli/gpt-5_high/eval1/run1/result.json,../../results/cncsim-full-js/codex-cli/gpt-5_high/eval1/run1/transcript.jsonl,Claims complete; self-contained Node.js 22+ simulator with no dependencies.
js,codex-cli,gpt-5,high,2,eval1,0,542,0.0,5.8,2700000.0,29000.0,0.71,43.0,0.0,0.0,../../results/cncsim-full-js/codex-cli/gpt-5_high/eval1/run2/result.json,../../results/cncsim-full-js/codex-cli/gpt-5_high/eval1/run2/transcript.jsonl,"Incomplete; wrote no code. Blamed ""command-quoting issue while writing multi-line JS files via the terminal tool."" Offered to retry with ""base64 → decode"" pipeline."
js,codex-cli,gpt-5,high,3,eval1,0,542,0.0,10.4,2200000.0,66000.0,1.08,31.0,0.0,0.0,../../results/cncsim-full-js/codex-cli/gpt-5_high/eval1/run3/result.json,../../results/cncsim-full-js/codex-cli/gpt-5_high/eval1/run3/transcript.jsonl,"Incomplete; wrote no code. Acknowledged ""writing the Node.js source file(s) into output/ from this environment failed repeatedly due to quoting/truncation issues."""
js,codex-cli,gpt-5.1-codex-mini,,1,eval1,18,542,3.3,5.3,1500000.0,33000.0,0.15,26.0,1.0,532.0,../../results/cncsim-full-js/codex-cli/gpt-5.1-codex-mini/eval1/run1/result.json,../../results/cncsim-full-js/codex-cli/gpt-5.1-codex-mini/eval1/run1/transcript.jsonl,"Incomplete; acknowledged ""interpreter and trace generation are still missing"" and listed outstanding work."
js,codex-cli,gpt-5.1-codex-mini,,2,eval1,1,542,0.2,8.4,1800000.0,55000.0,0.17,29.0,1.0,253.0,../../results/cncsim-full-js/codex-cli/gpt-5.1-codex-mini/eval1/run2/result.json,../../results/cncsim-full-js/codex-cli/gpt-5.1-codex-mini/eval1/run2/transcript.jsonl,"Incomplete; only CLI/state scaffolded. Wrote ""so the simulator can later execute G-code blocks"" — execution never implemented."
js,codex-cli,gpt-5.1-codex-mini,,3,eval1,166,542,30.6,13.0,4700000.0,89000.0,0.36,38.0,1.0,1089.0,../../results/cncsim-full-js/codex-cli/gpt-5.1-codex-mini/eval1/run3/result.json,../../results/cncsim-full-js/codex-cli/gpt-5.1-codex-mini/eval1/run3/transcript.jsonl,"Claims complete; implemented full CLI, expression evaluator, tokenizer, and trace recorder."
py,codex-cli,gpt-5.4,xhigh,1,eval1,253,542,46.7,28.6,8400000.0,83000.0,4.09,55.0,2.0,2758.0,../../results/cncsim-full-py/codex-cli/gpt-5.4_xhigh/eval1/run1/result.json,../../results/cncsim-full-py/codex-cli/gpt-5.4_xhigh/eval1/run1/transcript.jsonl,"Claims complete; `main.py` + `simulator.py`; flagged cutter-radius compensation and a few rare behaviors as ""pragmatically"" implemented."
py,codex-cli,gpt-5.4,xhigh,2,eval1,258,542,47.6,40.2,11300000.0,115000.0,5.72,107.0,1.0,2289.0,../../results/cncsim-full-py/codex-cli/gpt-5.4_xhigh/eval1/run2/result.json,../../results/cncsim-full-py/codex-cli/gpt-5.4_xhigh/eval1/run2/transcript.jsonl,Claims complete; single-file `output/main.py`.
